images,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,id
traicifar410180,0,0,0,0,1,0,0,0,0,0,410180
traicifar710181,0,0,0,0,0,0,0,1,0,0,710181
traicifar510182,0,0,0,0,0,1,0,0,0,0,510182
traicifar510183,0,0,0,0,0,1,0,0,0,0,510183
traicifar110184,0,1,0,0,0,0,0,0,0,0,110184
traicifar010185,1,0,0,0,0,0,0,0,0,0,10185
traicifar910186,0,0,0,0,0,0,0,0,0,1,910186
traicifar610187,0,0,0,0,0,0,1,0,0,0,610187
traicifar910188,0,0,0,0,0,0,0,0,0,1,910188
traicifar010189,1,0,0,0,0,0,0,0,0,0,10189
traicifar810190,0,0,0,0,0,0,0,0,1,0,810190
traicifar710191,0,0,0,0,0,0,0,1,0,0,710191
traicifar810192,0,0,0,0,0,0,0,0,1,0,810192
traicifar810193,0,0,0,0,0,0,0,0,1,0,810193
traicifar210194,0,0,1,0,0,0,0,0,0,0,210194
traicifar510195,0,0,0,0,0,1,0,0,0,0,510195
traicifar210196,0,0,1,0,0,0,0,0,0,0,210196
traicifar310197,0,0,0,1,0,0,0,0,0,0,310197
traicifar510198,0,0,0,0,0,1,0,0,0,0,510198
traicifar010199,1,0,0,0,0,0,0,0,0,0,10199
traicifar610200,0,0,0,0,0,0,1,0,0,0,610200
traicifar110201,0,1,0,0,0,0,0,0,0,0,110201
traicifar910202,0,0,0,0,0,0,0,0,0,1,910202
traicifar310203,0,0,0,1,0,0,0,0,0,0,310203
traicifar610204,0,0,0,0,0,0,1,0,0,0,610204
traicifar910205,0,0,0,0,0,0,0,0,0,1,910205
traicifar110206,0,1,0,0,0,0,0,0,0,0,110206
traicifar310207,0,0,0,1,0,0,0,0,0,0,310207
traicifar910208,0,0,0,0,0,0,0,0,0,1,910208
traicifar610209,0,0,0,0,0,0,1,0,0,0,610209
traicifar610210,0,0,0,0,0,0,1,0,0,0,610210
traicifar710211,0,0,0,0,0,0,0,1,0,0,710211
traicifar110212,0,1,0,0,0,0,0,0,0,0,110212
traicifar010213,1,0,0,0,0,0,0,0,0,0,10213
traicifar910214,0,0,0,0,0,0,0,0,0,1,910214
traicifar510215,0,0,0,0,0,1,0,0,0,0,510215
traicifar810216,0,0,0,0,0,0,0,0,1,0,810216
traicifar510217,0,0,0,0,0,1,0,0,0,0,510217
traicifar210218,0,0,1,0,0,0,0,0,0,0,210218
traicifar910219,0,0,0,0,0,0,0,0,0,1,910219
traicifar010220,1,0,0,0,0,0,0,0,0,0,10220
traicifar810221,0,0,0,0,0,0,0,0,1,0,810221
traicifar810222,0,0,0,0,0,0,0,0,1,0,810222
traicifar010223,1,0,0,0,0,0,0,0,0,0,10223
traicifar610224,0,0,0,0,0,0,1,0,0,0,610224
traicifar910225,0,0,0,0,0,0,0,0,0,1,910225
traicifar110226,0,1,0,0,0,0,0,0,0,0,110226
traicifar110227,0,1,0,0,0,0,0,0,0,0,110227
traicifar610228,0,0,0,0,0,0,1,0,0,0,610228
traicifar310229,0,0,0,1,0,0,0,0,0,0,310229
traicifar710230,0,0,0,0,0,0,0,1,0,0,710230
traicifar610231,0,0,0,0,0,0,1,0,0,0,610231
traicifar610232,0,0,0,0,0,0,1,0,0,0,610232
traicifar010233,1,0,0,0,0,0,0,0,0,0,10233
traicifar610234,0,0,0,0,0,0,1,0,0,0,610234
traicifar610235,0,0,0,0,0,0,1,0,0,0,610235
traicifar110236,0,1,0,0,0,0,0,0,0,0,110236
traicifar710237,0,0,0,0,0,0,0,1,0,0,710237
traicifar110238,0,1,0,0,0,0,0,0,0,0,110238
traicifar510239,0,0,0,0,0,1,0,0,0,0,510239
traicifar810240,0,0,0,0,0,0,0,0,1,0,810240
traicifar310241,0,0,0,1,0,0,0,0,0,0,310241
traicifar610242,0,0,0,0,0,0,1,0,0,0,610242
traicifar610243,0,0,0,0,0,0,1,0,0,0,610243
traicifar810244,0,0,0,0,0,0,0,0,1,0,810244
traicifar610245,0,0,0,0,0,0,1,0,0,0,610245
traicifar810246,0,0,0,0,0,0,0,0,1,0,810246
traicifar410247,0,0,0,0,1,0,0,0,0,0,410247
traicifar610248,0,0,0,0,0,0,1,0,0,0,610248
traicifar610249,0,0,0,0,0,0,1,0,0,0,610249
traicifar110250,0,1,0,0,0,0,0,0,0,0,110250
traicifar310251,0,0,0,1,0,0,0,0,0,0,310251
traicifar810252,0,0,0,0,0,0,0,0,1,0,810252
traicifar310253,0,0,0,1,0,0,0,0,0,0,310253
traicifar410254,0,0,0,0,1,0,0,0,0,0,410254
traicifar110255,0,1,0,0,0,0,0,0,0,0,110255
traicifar710256,0,0,0,0,0,0,0,1,0,0,710256
traicifar110257,0,1,0,0,0,0,0,0,0,0,110257
traicifar310258,0,0,0,1,0,0,0,0,0,0,310258
traicifar810259,0,0,0,0,0,0,0,0,1,0,810259
traicifar510260,0,0,0,0,0,1,0,0,0,0,510260
traicifar110261,0,1,0,0,0,0,0,0,0,0,110261
traicifar110262,0,1,0,0,0,0,0,0,0,0,110262
traicifar410263,0,0,0,0,1,0,0,0,0,0,410263
traicifar010264,1,0,0,0,0,0,0,0,0,0,10264
traicifar910265,0,0,0,0,0,0,0,0,0,1,910265
traicifar310266,0,0,0,1,0,0,0,0,0,0,310266
traicifar710267,0,0,0,0,0,0,0,1,0,0,710267
traicifar410268,0,0,0,0,1,0,0,0,0,0,410268
traicifar910269,0,0,0,0,0,0,0,0,0,1,910269
traicifar910270,0,0,0,0,0,0,0,0,0,1,910270
traicifar210271,0,0,1,0,0,0,0,0,0,0,210271
traicifar410272,0,0,0,0,1,0,0,0,0,0,410272
traicifar910273,0,0,0,0,0,0,0,0,0,1,910273
traicifar910274,0,0,0,0,0,0,0,0,0,1,910274
traicifar110275,0,1,0,0,0,0,0,0,0,0,110275
traicifar010276,1,0,0,0,0,0,0,0,0,0,10276
traicifar510277,0,0,0,0,0,1,0,0,0,0,510277
traicifar910278,0,0,0,0,0,0,0,0,0,1,910278
traicifar010279,1,0,0,0,0,0,0,0,0,0,10279
traicifar810280,0,0,0,0,0,0,0,0,1,0,810280
traicifar210281,0,0,1,0,0,0,0,0,0,0,210281
traicifar110282,0,1,0,0,0,0,0,0,0,0,110282
traicifar210283,0,0,1,0,0,0,0,0,0,0,210283
traicifar010284,1,0,0,0,0,0,0,0,0,0,10284
traicifar510285,0,0,0,0,0,1,0,0,0,0,510285
traicifar610286,0,0,0,0,0,0,1,0,0,0,610286
traicifar310287,0,0,0,1,0,0,0,0,0,0,310287
traicifar210288,0,0,1,0,0,0,0,0,0,0,210288
traicifar710289,0,0,0,0,0,0,0,1,0,0,710289
traicifar810290,0,0,0,0,0,0,0,0,1,0,810290
traicifar810291,0,0,0,0,0,0,0,0,1,0,810291
traicifar610292,0,0,0,0,0,0,1,0,0,0,610292
traicifar010293,1,0,0,0,0,0,0,0,0,0,10293
traicifar710294,0,0,0,0,0,0,0,1,0,0,710294
traicifar910295,0,0,0,0,0,0,0,0,0,1,910295
traicifar410296,0,0,0,0,1,0,0,0,0,0,410296
traicifar510297,0,0,0,0,0,1,0,0,0,0,510297
traicifar610298,0,0,0,0,0,0,1,0,0,0,610298
traicifar410299,0,0,0,0,1,0,0,0,0,0,410299
traicifar210300,0,0,1,0,0,0,0,0,0,0,210300
traicifar110301,0,1,0,0,0,0,0,0,0,0,110301
traicifar110302,0,1,0,0,0,0,0,0,0,0,110302
traicifar210303,0,0,1,0,0,0,0,0,0,0,210303
traicifar110304,0,1,0,0,0,0,0,0,0,0,110304
traicifar510305,0,0,0,0,0,1,0,0,0,0,510305
traicifar910306,0,0,0,0,0,0,0,0,0,1,910306
traicifar910307,0,0,0,0,0,0,0,0,0,1,910307
traicifar010308,1,0,0,0,0,0,0,0,0,0,10308
traicifar810309,0,0,0,0,0,0,0,0,1,0,810309
traicifar410310,0,0,0,0,1,0,0,0,0,0,410310
traicifar110311,0,1,0,0,0,0,0,0,0,0,110311
traicifar110312,0,1,0,0,0,0,0,0,0,0,110312
traicifar610313,0,0,0,0,0,0,1,0,0,0,610313
traicifar310314,0,0,0,1,0,0,0,0,0,0,310314
traicifar310315,0,0,0,1,0,0,0,0,0,0,310315
traicifar910316,0,0,0,0,0,0,0,0,0,1,910316
traicifar010317,1,0,0,0,0,0,0,0,0,0,10317
traicifar710318,0,0,0,0,0,0,0,1,0,0,710318
traicifar910319,0,0,0,0,0,0,0,0,0,1,910319
traicifar710320,0,0,0,0,0,0,0,1,0,0,710320
traicifar710321,0,0,0,0,0,0,0,1,0,0,710321
traicifar910322,0,0,0,0,0,0,0,0,0,1,910322
traicifar110323,0,1,0,0,0,0,0,0,0,0,110323
traicifar510324,0,0,0,0,0,1,0,0,0,0,510324
traicifar110325,0,1,0,0,0,0,0,0,0,0,110325
traicifar610326,0,0,0,0,0,0,1,0,0,0,610326
traicifar610327,0,0,0,0,0,0,1,0,0,0,610327
traicifar810328,0,0,0,0,0,0,0,0,1,0,810328
traicifar710329,0,0,0,0,0,0,0,1,0,0,710329
traicifar110330,0,1,0,0,0,0,0,0,0,0,110330
traicifar310331,0,0,0,1,0,0,0,0,0,0,310331
traicifar010332,1,0,0,0,0,0,0,0,0,0,10332
traicifar310333,0,0,0,1,0,0,0,0,0,0,310333
traicifar310334,0,0,0,1,0,0,0,0,0,0,310334
traicifar210335,0,0,1,0,0,0,0,0,0,0,210335
traicifar410336,0,0,0,0,1,0,0,0,0,0,410336
traicifar510337,0,0,0,0,0,1,0,0,0,0,510337
traicifar710338,0,0,0,0,0,0,0,1,0,0,710338
traicifar510339,0,0,0,0,0,1,0,0,0,0,510339
traicifar910340,0,0,0,0,0,0,0,0,0,1,910340
traicifar010341,1,0,0,0,0,0,0,0,0,0,10341
traicifar310342,0,0,0,1,0,0,0,0,0,0,310342
traicifar410343,0,0,0,0,1,0,0,0,0,0,410343
traicifar010344,1,0,0,0,0,0,0,0,0,0,10344
traicifar410345,0,0,0,0,1,0,0,0,0,0,410345
traicifar410346,0,0,0,0,1,0,0,0,0,0,410346
traicifar610347,0,0,0,0,0,0,1,0,0,0,610347
traicifar010348,1,0,0,0,0,0,0,0,0,0,10348
traicifar010349,1,0,0,0,0,0,0,0,0,0,10349
traicifar610350,0,0,0,0,0,0,1,0,0,0,610350
traicifar610351,0,0,0,0,0,0,1,0,0,0,610351
traicifar010352,1,0,0,0,0,0,0,0,0,0,10352
traicifar810353,0,0,0,0,0,0,0,0,1,0,810353
traicifar110354,0,1,0,0,0,0,0,0,0,0,110354
traicifar610355,0,0,0,0,0,0,1,0,0,0,610355
traicifar210356,0,0,1,0,0,0,0,0,0,0,210356
traicifar910357,0,0,0,0,0,0,0,0,0,1,910357
traicifar210358,0,0,1,0,0,0,0,0,0,0,210358
traicifar510359,0,0,0,0,0,1,0,0,0,0,510359
traicifar910360,0,0,0,0,0,0,0,0,0,1,910360
traicifar610361,0,0,0,0,0,0,1,0,0,0,610361
traicifar710362,0,0,0,0,0,0,0,1,0,0,710362
traicifar410363,0,0,0,0,1,0,0,0,0,0,410363
traicifar110364,0,1,0,0,0,0,0,0,0,0,110364
traicifar810365,0,0,0,0,0,0,0,0,1,0,810365
traicifar710366,0,0,0,0,0,0,0,1,0,0,710366
traicifar310367,0,0,0,1,0,0,0,0,0,0,310367
traicifar610368,0,0,0,0,0,0,1,0,0,0,610368
traicifar910369,0,0,0,0,0,0,0,0,0,1,910369
traicifar310370,0,0,0,1,0,0,0,0,0,0,310370
traicifar010371,1,0,0,0,0,0,0,0,0,0,10371
traicifar410372,0,0,0,0,1,0,0,0,0,0,410372
traicifar010373,1,0,0,0,0,0,0,0,0,0,10373
traicifar510374,0,0,0,0,0,1,0,0,0,0,510374
traicifar110375,0,1,0,0,0,0,0,0,0,0,110375
traicifar010376,1,0,0,0,0,0,0,0,0,0,10376
traicifar310377,0,0,0,1,0,0,0,0,0,0,310377
traicifar410378,0,0,0,0,1,0,0,0,0,0,410378
traicifar810379,0,0,0,0,0,0,0,0,1,0,810379
traicifar510380,0,0,0,0,0,1,0,0,0,0,510380
traicifar410381,0,0,0,0,1,0,0,0,0,0,410381
traicifar710382,0,0,0,0,0,0,0,1,0,0,710382
traicifar210383,0,0,1,0,0,0,0,0,0,0,210383
traicifar310384,0,0,0,1,0,0,0,0,0,0,310384
traicifar910385,0,0,0,0,0,0,0,0,0,1,910385
traicifar710386,0,0,0,0,0,0,0,1,0,0,710386
traicifar610387,0,0,0,0,0,0,1,0,0,0,610387
traicifar710388,0,0,0,0,0,0,0,1,0,0,710388
traicifar110389,0,1,0,0,0,0,0,0,0,0,110389
traicifar410390,0,0,0,0,1,0,0,0,0,0,410390
traicifar710391,0,0,0,0,0,0,0,1,0,0,710391
traicifar010392,1,0,0,0,0,0,0,0,0,0,10392
traicifar110393,0,1,0,0,0,0,0,0,0,0,110393
traicifar710394,0,0,0,0,0,0,0,1,0,0,710394
traicifar310395,0,0,0,1,0,0,0,0,0,0,310395
traicifar110396,0,1,0,0,0,0,0,0,0,0,110396
traicifar810397,0,0,0,0,0,0,0,0,1,0,810397
traicifar410398,0,0,0,0,1,0,0,0,0,0,410398
traicifar410399,0,0,0,0,1,0,0,0,0,0,410399
traicifar210400,0,0,1,0,0,0,0,0,0,0,210400
traicifar010401,1,0,0,0,0,0,0,0,0,0,10401
traicifar210402,0,0,1,0,0,0,0,0,0,0,210402
traicifar210403,0,0,1,0,0,0,0,0,0,0,210403
traicifar010404,1,0,0,0,0,0,0,0,0,0,10404
traicifar010405,1,0,0,0,0,0,0,0,0,0,10405
traicifar910406,0,0,0,0,0,0,0,0,0,1,910406
traicifar010407,1,0,0,0,0,0,0,0,0,0,10407
traicifar910408,0,0,0,0,0,0,0,0,0,1,910408
traicifar610409,0,0,0,0,0,0,1,0,0,0,610409
traicifar810410,0,0,0,0,0,0,0,0,1,0,810410
traicifar210411,0,0,1,0,0,0,0,0,0,0,210411
traicifar710412,0,0,0,0,0,0,0,1,0,0,710412
traicifar710413,0,0,0,0,0,0,0,1,0,0,710413
traicifar410414,0,0,0,0,1,0,0,0,0,0,410414
traicifar010415,1,0,0,0,0,0,0,0,0,0,10415
traicifar310416,0,0,0,1,0,0,0,0,0,0,310416
traicifar010417,1,0,0,0,0,0,0,0,0,0,10417
traicifar810418,0,0,0,0,0,0,0,0,1,0,810418
traicifar910419,0,0,0,0,0,0,0,0,0,1,910419
traicifar410420,0,0,0,0,1,0,0,0,0,0,410420
traicifar210421,0,0,1,0,0,0,0,0,0,0,210421
traicifar710422,0,0,0,0,0,0,0,1,0,0,710422
traicifar210423,0,0,1,0,0,0,0,0,0,0,210423
traicifar510424,0,0,0,0,0,1,0,0,0,0,510424
traicifar210425,0,0,1,0,0,0,0,0,0,0,210425
traicifar510426,0,0,0,0,0,1,0,0,0,0,510426
traicifar110427,0,1,0,0,0,0,0,0,0,0,110427
traicifar910428,0,0,0,0,0,0,0,0,0,1,910428
traicifar410429,0,0,0,0,1,0,0,0,0,0,410429
traicifar810430,0,0,0,0,0,0,0,0,1,0,810430
traicifar510431,0,0,0,0,0,1,0,0,0,0,510431
traicifar110432,0,1,0,0,0,0,0,0,0,0,110432
traicifar710433,0,0,0,0,0,0,0,1,0,0,710433
traicifar410434,0,0,0,0,1,0,0,0,0,0,410434
traicifar410435,0,0,0,0,1,0,0,0,0,0,410435
traicifar010436,1,0,0,0,0,0,0,0,0,0,10436
traicifar610437,0,0,0,0,0,0,1,0,0,0,610437
traicifar910438,0,0,0,0,0,0,0,0,0,1,910438
traicifar010439,1,0,0,0,0,0,0,0,0,0,10439
traicifar710440,0,0,0,0,0,0,0,1,0,0,710440
traicifar810441,0,0,0,0,0,0,0,0,1,0,810441
traicifar810442,0,0,0,0,0,0,0,0,1,0,810442
traicifar910443,0,0,0,0,0,0,0,0,0,1,910443
traicifar910444,0,0,0,0,0,0,0,0,0,1,910444
traicifar310445,0,0,0,1,0,0,0,0,0,0,310445
traicifar310446,0,0,0,1,0,0,0,0,0,0,310446
traicifar410447,0,0,0,0,1,0,0,0,0,0,410447
traicifar010448,1,0,0,0,0,0,0,0,0,0,10448
traicifar410449,0,0,0,0,1,0,0,0,0,0,410449
traicifar510450,0,0,0,0,0,1,0,0,0,0,510450
traicifar610451,0,0,0,0,0,0,1,0,0,0,610451
traicifar610452,0,0,0,0,0,0,1,0,0,0,610452
traicifar010453,1,0,0,0,0,0,0,0,0,0,10453
traicifar110454,0,1,0,0,0,0,0,0,0,0,110454
traicifar010455,1,0,0,0,0,0,0,0,0,0,10455
traicifar810456,0,0,0,0,0,0,0,0,1,0,810456
traicifar010457,1,0,0,0,0,0,0,0,0,0,10457
traicifar410458,0,0,0,0,1,0,0,0,0,0,410458
traicifar810459,0,0,0,0,0,0,0,0,1,0,810459
traicifar810460,0,0,0,0,0,0,0,0,1,0,810460
traicifar110461,0,1,0,0,0,0,0,0,0,0,110461
traicifar510462,0,0,0,0,0,1,0,0,0,0,510462
traicifar210463,0,0,1,0,0,0,0,0,0,0,210463
